Transaction ID,Class of Business,Sub-Class of Business,Transaction Type,Amount,Currency,Customer Name,Date,Age,Income,Number of Claims,Account Balance,Default,customer_id,income_balance_ratio,Amount_converted,inactive_days
1,Fire Domestic,Sub-Class H,Direct,2231.060606060606,USD,Anne Bailey,2024-02-13,71,62348,2,14817.51126403297,0,Anne Bailey1,4.207724150771482,290037.8787878788,213
2,Miscellaneous,Sub-Class C,Outward Reinsurance,4000.0,USD,Angelica Barker,2023-11-19,20,104117,2,825.8263337560065,0,Angelica Barker2,126.07614427413229,520000.0,299
3,Aviation,Sub-Class H,Inward Reinsurance,2500.0,KES,Kathleen Davis,2023-04-21,72,56679,5,18245.02715769307,0,Kathleen Davis3,3.1065451155604955,2500.0,511
4,Fire Domestic,Sub-Class E,Inward Reinsurance,2418.348623853211,,Andrea Barr,2023-03-30,73,99118,3,16685.57804586821,0,Andrea Barr4,5.940339599115312,2418.348623853211,533
5,Fire Domestic,Sub-Class A,Direct,2500.0,KES,Ryan Beck,2024-03-08,64,63888,3,-4544.867422420036,0,Ryan Beck5,-14.057175724166918,2500.0,189
6,Miscellaneous,Sub-Class G,Outward Reinsurance,2424.626865671642,KES,Cindy Campos,2024-12-10,57,50276,3,-1785.797353620423,0,Cindy Campos6,-28.15325036632702,2424.626865671642,-88
7,Aviation,Sub-Class E,Outward Reinsurance,2500.0,,Joseph Little,2024-12-12,50,123539,9,7402.427660176685,0,Joseph Little7,16.688984434743034,2500.0,-90
8,Aviation,Sub-Class F,Direct,1700.0,KES,Steven Cochran,2023-04-09,49,24799,8,6523.887852829568,1,Steven Cochran8,3.8012609289787336,1700.0,523
9,Fire Domestic,Sub-Class F,Inward Reinsurance,2418.348623853211,,Gina Cruz,2024-06-22,24,110627,7,12709.77137587089,0,Gina Cruz9,8.704090477191585,2418.348623853211,83
10,Engineering,Sub-Class H,Inward Reinsurance,2157.1428571428573,KES,Crystal Henderson,2024-08-23,36,113770,2,-2757.215598674149,1,Crystal Henderson10,-41.26264194019072,2157.1428571428573,21
11,Fire Domestic,Sub-Class I,Inward Reinsurance,2418.348623853211,,John Taylor,2023-05-26,51,132529,0,11121.38266742816,0,John Taylor11,11.916593823189393,2418.348623853211,476
12,Fire Domestic,Sub-Class B,Direct,2500.0,,Ralph Wilcox DDS,2024-11-24,31,144713,0,10409.24827836456,0,Ralph Wilcox DDS12,13.902348770062815,2500.0,-72
13,Fire Domestic,Sub-Class I,Inward Reinsurance,4000.0,,Heather Roberts,2023-09-14,67,140048,0,840.4899619511089,0,Heather Roberts13,166.6266182107557,4000.0,365
14,Fire Domestic,Sub-Class I,Direct,2200.0,USD,James Wilson,2023-07-08,64,110141,3,8559.849106709988,0,James Wilson14,12.867166071147384,286000.0,433
15,Miscellaneous,Sub-Class G,Direct,2500.0,KES,Mr. Stephen Norris,2023-08-28,63,80558,5,555.1801748995485,0,Mr. Stephen Norris15,145.1024435708205,2500.0,382
16,Aviation,Sub-Class A,Outward Reinsurance,1500.0,USD,Brittany Moses,2024-05-17,73,135013,3,-1326.924322484841,1,Brittany Moses16,-101.74883202620805,195000.0,119
17,Miscellaneous,Sub-Class G,Inward Reinsurance,3000.0,KES,Kristie Smith,2024-12-08,74,56534,2,9328.373366351763,0,Kristie Smith17,6.060434952563429,3000.0,-86
18,Miscellaneous,Sub-Class E,Direct,4000.0,KES,Donald Ochoa,2024-11-07,36,51668,7,19436.85695751426,0,Donald Ochoa18,2.658248713407608,4000.0,-55
19,Miscellaneous,Sub-Class F,Inward Reinsurance,1700.0,KES,Jill Miller,2023-09-28,68,24111,7,923.3337292936258,0,Jill Miller19,26.11298519165496,1700.0,351
20,Fire Domestic,Sub-Class G,Inward Reinsurance,-1500.0,USD,Juan Owens Jr.,2024-06-03,71,44686,5,3883.403733878797,0,Juan Owens Jr.20,11.506915855840466,-195000.0,102
21,Engineering,Sub-Class E,Outward Reinsurance,2500.0,KES,Christina Garcia,2024-07-03,43,92551,8,1414.330649751168,0,Christina Garcia21,65.43802187719193,2500.0,72
22,Aviation,Sub-Class G,Inward Reinsurance,2291.8367346938776,USD,Richard Vincent,2023-04-24,34,92392,9,1661.495541162369,0,Richard Vincent22,55.6077327390017,297938.7755102041,508
23,Engineering,Sub-Class I,Outward Reinsurance,2500.0,,Dr. Kevin Blevins,2023-12-05,71,36490,0,5104.803354667016,0,Dr. Kevin Blevins23,7.148169569869793,2500.0,283
24,Miscellaneous,Sub-Class C,Direct,5000.0,KES,Allen Sweeney,2024-07-21,45,55194,7,12546.3877662655,0,Allen Sweeney24,4.399194495518832,5000.0,54
25,Miscellaneous,Sub-Class H,Inward Reinsurance,4000.0,KES,Jeremiah Massey,2023-12-25,36,34497,5,-4029.886899226371,0,Jeremiah Massey25,-8.560289869827981,4000.0,263
26,Engineering,Sub-Class B,Direct,2200.0,,Christy Evans,2024-10-11,44,139066,0,18928.104892139,0,Christy Evans26,7.347064103483243,2200.0,-28
27,Engineering,Sub-Class G,Inward Reinsurance,1700.0,,Erin Clark,2024-09-05,65,73516,3,-3843.003012768812,0,Erin Clark27,-19.129831477033658,1700.0,8
28,Engineering,Sub-Class B,Direct,5000.0,KES,Alexandria Morrison,2023-11-30,69,137219,4,17031.32954861399,1,Alexandria Morrison28,8.056857781321417,5000.0,288
29,Miscellaneous,Sub-Class D,Inward Reinsurance,5000.0,,Louis Nielsen,2024-11-19,74,108730,6,17359.45246904997,0,Louis Nielsen29,6.263446395780849,5000.0,-67
30,Miscellaneous,Sub-Class G,Inward Reinsurance,2500.0,USD,Shannon Estrada,2023-06-18,36,64104,7,8112.229689788082,0,Shannon Estrada30,7.902143116176313,325000.0,453
31,Aviation,Sub-Class C,Inward Reinsurance,1700.0,USD,Jack Brady,2023-12-05,50,25316,8,-1575.079284525814,0,Jack Brady31,-16.072841696741328,221000.0,283
32,Aviation,Sub-Class B,Inward Reinsurance,2500.0,KES,John Hicks,2023-09-18,68,58130,5,9128.649263923595,0,John Hicks32,6.367864326842927,2500.0,361
33,Miscellaneous,Sub-Class G,Inward Reinsurance,-1500.0,USD,Maria Thompson,2023-07-18,24,90229,9,10715.80399757124,0,Maria Thompson33,8.420180139581742,-195000.0,423
34,Engineering,Sub-Class A,Inward Reinsurance,1700.0,USD,Dillon Mitchell,2023-07-30,46,127294,8,16443.97394517778,1,Dillon Mitchell34,7.741072834606939,221000.0,411
35,Engineering,Sub-Class H,Inward Reinsurance,-1500.0,KES,Angela Little,2023-10-14,72,49954,3,8772.384394239243,0,Angela Little35,5.69446090766433,-1500.0,335
36,Aviation,Sub-Class C,Inward Reinsurance,4000.0,,Cassandra Atkinson,2024-11-22,60,133437,7,5267.734897583456,0,Cassandra Atkinson36,25.331001387562896,4000.0,-70
37,Miscellaneous,Sub-Class B,Inward Reinsurance,4000.0,KES,Ashley Larsen,2024-04-16,22,41652,2,15957.27984635285,0,Ashley Larsen37,2.6102193106251663,4000.0,150
38,Aviation,Sub-Class C,Direct,-1500.0,USD,Allen Little,2024-04-26,47,34178,3,19523.79493381547,0,Allen Little38,1.7505817960013121,-195000.0,140
39,Aviation,Sub-Class E,Outward Reinsurance,4000.0,KES,William Rodriguez,2023-01-23,66,128933,9,11127.58012894833,0,William Rodriguez39,11.586795916623561,4000.0,599
40,Fire Domestic,Sub-Class H,Inward Reinsurance,1700.0,KES,John Bowman,2024-07-13,60,71163,3,16859.67593257024,0,John Bowman40,4.220899635592893,1700.0,62
41,Fire Domestic,Sub-Class G,Outward Reinsurance,2289.285714285714,USD,Alison Soto,2023-04-19,73,34751,5,9968.377820726606,1,Alison Soto41,3.486123883441144,297607.14285714284,513
42,Fire Domestic,Sub-Class G,Inward Reinsurance,1500.0,USD,Brandon Sims,2023-10-23,25,85961,8,12244.69978525764,0,Brandon Sims42,7.020261950684591,195000.0,326
43,Engineering,Sub-Class G,Inward Reinsurance,4000.0,KES,Sandra Gonzalez,2023-01-06,59,23044,5,12204.17793872297,0,Sandra Gonzalez43,1.8882058353871636,4000.0,616
